run,cycle,label,slice,era,commit,started_at,finished_at,duration_s,overall_pct,simple_pct,medium_pct,complex_pct,event_event_pct,task_task_pct,event_task_pct,et_event_missing,et_task_missing,et_both_present,deep_pct,fast_pct,p50_ms,p95_ms,n_deep,n_fast,ee_date_collapse_pct,precision_pct,recall_pct,f1_pct,fieldq_pct,when_ok_pct,wtd_fieldq_pct,garbage_pct,adj_pct,summary
11,6,cycle6-fix,dev-fast-250,1,13edcce,2026-09-06T09:15:57,2026-09-06T10:05:35,2978,78.4,,,,,,,14,7,16,78,79,,,152,98,0.4,84.7,79.3,81.9,84.3,84.5,83.5,,79.6,"cycle6 generic-target veto: targeted row flips as designed (+1, zero veto regressions, fast holds 79%); headline -0.8 = 3 deep-path garble-row LLM flickers (noise). GRADUATED on the targeted slice."
12,7,cycle7-fix,dev-fast-250,1,160e9a4,2026-09-06T13:39:20,2026-09-06T14:34:57,3337,80.0,92,92,56,67,55,49,13,6,18,81,79,7671,50481,152,98,0.4,85.8,81.4,83.5,83.5,84.7,82.8,0.8,80.8,"cycle7 invention guard GRADUATED: precision 85.8 in predicted band, +4/-0 flips - all four are the garble-fabrication rows resolving correctly once inventions dropped; raw 80.0 best-ever (novel effect: guard unlocks wins, predicted flat); zero legit titles blocked"
13,,devfull-epoch1,dev-full-600,1,160e9a4,2026-09-06T14:36:29,2026-09-06T17:11:00,9270,78.5,91,90,51,56,55,45,25,15,34,77,81,7539,59958,361,238,0.3,85.9,77.8,81.7,84.2,84.0,83.7,0.5,80.0,NEW-EPOCH DEV-FULL ANCHOR: 78.5 raw on 600 (tuned 79.6 / untuned 77.7 - 1.9pt gap = low overfit); precision 85.9 HOLDS off-slice (C7 generalizes); fieldq 84.2 - the dip was slice noise; simple-tier fieldq anomaly persists (79.1); qmut=2
14,8,cycle8-fix,dev-fast-250,1,48b9ac9,2026-09-06T17:28:00,2026-09-06T18:24:00,3360,78.0,91,90,54,67,50,46,14,6,17,78,79,8144,53895,152,98,0.4,83.9,79.3,81.6,85.3,86.1,84.5,0.8,79.2,cycle8 lead-time strip: board flat as predicted (78.4 raw/81.2 adj); fieldq 85.3 + when 86.1 best-ever (clause removal cleans titles); precision -1.9 watch; behavioral goal delivered (reminder_minutes flows)
15,9,cycle9-fix,dev-fast-250,1,f9b2110,2026-09-06T18:49:00,2026-09-06T19:25:00,2160,78.0,92,90,52,67,50,43,15,6,16,78,79,7579,50316,152,98,0.4,84.4,79.7,82.0,85.3,86.6,84.6,0.8,79.2,"cycle9 (DESIGN CHANGE, Gil-auth) sub-item rules-first @0.60: GOAL MET - deep-only p50 15255->14118, p95 67213->57714 (~10s faster on hard rows); count flat 78.0/80.8. GREEN LIGHT for cycle 10."
16,-,era2-baseline-joint-confirm,dev-fast-250,2,effebeb,2026-09-06T19:45:00,2026-09-06T21:17:00,5520,77.0,91,88,52,63,50,46,,,,71,90,8636,55073,163,87,4,84.5,78.1,81.1,84.5,86.6,83.9,0,80.0,"ERA-2 BASELINE. Joint confirmation of the integration (FastRule object + F1/F2/F3 + 0.80): headline flat within noise vs cycle9 (raw 78.0->77.0, adj 80.8->80.0, F1 82.0->81.1). The real move is ROUTING SAFETY: fast correct-on-committed 79->90 (+11), gates pushed ~11 wrong-fast rows to deep (fast n 98->87, deep n 152->163, deep 78->71 by hard-row dilution). Commit coverage DOWN not up - the F1/F3 gates outweighed the 0.80 threshold; recoverable-abstain headroom is F4's target. CONFIRMED: merged to main."
17,e2c1,q1-convention,dev-fast-250,2,3235f48,2026-09-06T21:40:00,2026-09-06T23:59:00,8340,78.0,92,88,52,67,45,46,,,,71,90,8524,49364,163,87,4,85.3,78.1,81.5,83.8,85.9,83.5,0,80.0,"Era-2 cycle 1 (Q1 convention): PREDICTION MET - board flat vs run16 (raw 77->78, adj 80.0 flat, F1 81.1->81.5, routing identical 163/87). KEY FINDING: Q1 rule fires correctly (conversation-with-Greg half now tries create_event, was task) but a dated-no-clock encounter FAILS event validation (no start_time) and drops with an apology - kind fixed, needs the default-time/all-day path. Same gap F4's mark-date fix hit. That is cycle 2's hypothesis."
18,e2c2,allday-coercion,dev-fast-250,2,52453b6,2026-09-07T00:20:00,2026-09-07T01:35:00,4500,78.0,91,90,52,67,45,46,,,,71,90,7822,49245,163,87,4,84.9,78.1,81.3,83.9,85.6,83.6,0,80.0,"Era-2 cycle 2 (all-day coercion): MECHANISM CONFIRMED, AGGREGATE FLAT. The targeted rows now complete (party-in-NY + conversation-with-Greg absent from misses; items created 217->218, when-coverage 71->73) but e+e stayed 67 (another row jittered out) and raw stayed 78.0 - the 1-2 row gain predicted is inside the noise floor, which ate it. Keep: real bug, unit-tested, direct row evidence. Board impact neutral."
19,e2c3,f4f5-joint-confirm,dev-fast-250,2,HEAD-merge,2026-09-07T02:45:00,2026-09-07T04:00:00,4500,79.0,91,90,56,67,50,51,,,,73,91,8056,48517,164,86,4,85.9,79.7,82.7,83.8,86.8,83.7,0,81.0,"Era-2 cycle 3 (F4+F5 joint confirmation): ALL FOUR PREDICTIONS MET and first real era-2 gain. Adjusted 80.0->81.0, F1 81.3->82.7, complex 52->56, event+task 46->51, task+task 45->50 - the F5-deferred compounds land in deep where the splitter saves them, exactly the mechanism predicted. Fast n 87->86 at 91% correct; deep 71->73 despite absorbing harder rows; garbage 0%. F4+F5 CONFIRMED on the main board."
20,e2c4,f6-joint-confirm,dev-fast-250,2,merge-f6,2026-09-07,2026-09-07,5200,79.0,91,91,55,70,50,46,,,,73,91,7820,50627,164,86,4,85.1,79.3,82.1,84.1,84.2,84.2,0,82.0,"Era-2 cycle 4 (F6 joint confirmation): CONFIRMED, prediction met. ADJUSTED 81.0->82.0 (new era-2 best), raw 79.0 flat, routing 164/86 (predicted 82-86 fast), fast correct 91% (predicted 91-94), e+e 67->70, medium 90->91, deep 73 flat while absorbing F6's deferrals. Q9 confirm gate rode along inert as audited. F6 counts on the main board."
21,-,preloop-sealed-baseline,sealed-300,2,,,2026-09-07T21:10:52,,83,90,92,67,63,78,59,,,,77,90,12000,70400,166,135,,87.2,83.3,85.2,88.9,81.9,,0,82,"MILESTONE - the pre-loop baseline on the SEALED 300, aggregates only (tooling-enforced). BACKFILLED 2026-09-11: the run happened 2026-09-07 and was archived (dataset/runs/run21-preloop-sealed-baseline-300rows) but was banked in RESULTS.md prose only, so the plottable trajectory stopped at run 20 while the milestone every sprint cycle is judged against sat outside it. Figures transcribed from the RESULTS.md milestone table; counts (n_rows 301, fast 135, deep 166) and finished_at from the archive manifest. NOT rescoreable here - archive DATA is local-only/gitignored, so rescore_runs cannot regenerate this row; the blank columns (et_* split, ee_date_collapse, wtd_fieldq, commit, started_at, duration_s) were never in the prose and are left EMPTY rather than invented. SLICE IS NOT COMPARABLE to runs 1-20, which are all dev-fast-250. Read honestly: headline is the best the engine has produced and the fast path carries 45% of traffic at 90% correct, but complex is 67%, mixed compounds 59%, p95 70.4s is not a product-acceptable tail, and this measures CLEAN PROMPTS - the same engine reads a 50% flag rate on Gil's real speech."
22,-,e2e-checkpoint-after-stage-isolation,dev-100,2,7c236cf,2026-09-20T10:24:36,2026-09-20T10:34:48,611,74.0,91.2,87.9,42.4,54.5,45.5,27.3,3,5,3,62,88,56,41485,52,48,8.0,75.8,74.2,75.0,88.7,85.0,87.9,0.0,75.0,"CHECKPOINT, not a loop cycle: first whole-chain read after the September stage work (27 commits on fastrule-title-time-precedence). 26 misses: 12 segmentation kind, 4 segmentation cut, 5 fast-path routing (list->query_todos x3), 3 FastRule build/rescue, 1 judge anaphora, 1 scorer-ambiguous. Old brain 70% on the same rows."
23,-,loop-model-round-v1,dev-100,2,c2e82fb,2026-09-20T11:40:13,2026-09-20T11:52:07,713,75.0,91.2,87.9,45.5,63.6,36.4,36.4,,,,63,88,50,38524,52,48,9.0,73.7,75.3,74.5,88.4,85.0,87.6,0.0,77.0,"First live run of the two-tier rewrite (model writes X1' as a list, envelope join). 8 rows reached the model round: 2 fixed (Open calendar/Set event; add date and time... Also, Calendar event), 1 regressed (reopen groceries: 'add milk' and 'reopen groceries' lines tagged event, rescue invented daily), 1 repair refused on a transcript typo (bithday), 3 spent rounds on rescue hallucinations, 1 empty. Superseded by run 24 after the prompt/guard fixes."
24,-,loop-model-round,dev-100,2,c2e82fb,2026-09-20T11:56:26,2026-09-20T12:10:00,813,76.0,94.1,87.9,45.5,63.6,36.4,36.4,3,4,4,65,88,54,46534,52,48,8.0,76.1,75.3,75.7,87.1,81.0,86.5,0.0,78.0,"Two-tier rewrite banked (DEVQA Q30): code first, then the model writes X1' as a list with every earlier attempt in the brief; unsplit_subject finding; envelope join; typo tolerance; repeat guard. vs run 22 (same rows): count-correct 74 -> 76, deep 62 -> 65, F1 75.0 -> 75.7, fieldq 88.7 -> 87.1. 9 rows reached the model round: 3 fixed, 1 regressed (kind tagger misses 'groceries list'), 5 spent rounds on rescue hallucinations or no-subject asks. p95 41.5 s -> 46.5 s."
25,-,checkpoint-queue-items-1-3,dev-100,2,0067da9,2026-09-20T12:40:20,2026-09-20T12:57:23,1022,83.0,97.1,84.8,66.7,81.8,54.5,63.6,2,2,7,72,98,59,44745,58,42,8.0,86.0,86.0,86.0,85.4,81.0,85.8,0.0,85.0,"Plan items 1-3 landed (kind tagger: new list / wake word / i want; FastSeg hard seams; fast path: noun is not a command, remind-me-about is an event, joiner-in-title carve-out test, note/date generic). vs run 24: count-correct 76 -> 83, deep 65 -> 72, F1 75.7 -> 86.0, failures 24 -> 17 (8 fixed, 1 new). Old brain 69% on the same rows."
26,-,checkpoint-queue-tagger-residue,dev-100,2,c052ca0,2026-09-20T13:02:35,2026-09-20T13:19:46,1030,85.0,100.0,87.9,66.7,81.8,54.5,63.6,2,2,7,76,98,57,44783,58,42,8.0,87.9,86.0,87.0,87.0,78.9,87.2,0.0,87.0,"Auxiliary-question review rule + converter (create,review)->query_schedule. vs run 25: count-correct 83 -> 85, deep 72 -> 76, F1 86.0 -> 87.0, failures 17 -> 15 (st. patricks, PDA fixed). Last run of checkpoint mode; the loop resumes after this (DEVQA Q31)."
27,28,block-subjectless,dev-100,2,d95a722,2026-09-20T15:26:15,2026-09-20T15:42:17,961,84.0,97.1,87.9,66.7,81.8,54.5,63.6,,,,,,60,41247,58,42,7.0,,,,,,,19.0,86.0,"AUTO-LOGGED — fill in label, cycle and summary by hand."
28,28,rulings-q32-q33-q28,dev-100,2,d95a722,2026-09-20T16:04:17,2026-09-20T16:19:26,908,83.0,100.0,87.9,60.6,81.8,54.5,45.5,,,,,,56,44656,57,43,6.0,,,,,,,16.0,85.0,"AUTO-LOGGED — fill in label, cycle and summary by hand."
29,28,rulings+general-list,dev-100,2,d95a722,2026-09-20T16:22:50,2026-09-20T16:38:56,965,82.0,100.0,87.9,57.6,81.8,45.5,45.5,2,3,5,70,98,60,46296,57,43,6.0,88.4,81.7,84.9,84.3,77.8,84.5,16.0,84.0,"Cycle 28 complete: the judge holds back a subject that names nothing, a held-back object leaves the memory record, and Gil's three rulings (meal hours, a new list in General on both tracks, a bare 7/8 asked about and otherwise PM on both tracks). vs run 26: garbage-title 19 -> 16% (7 junk titles gone), count-correct 85 -> 82% (the SAME 3 rows: refusing to name a list now reads as making nothing). Both boards and the stage board byte-identical."
30,29,invention-guard-holed,dev-100,2,46b5bf8,2026-09-20T16:44:02,2026-09-20T16:59:56,953,83.0,100.0,87.9,60.6,81.8,54.5,45.5,,,,,,63,46548,57,43,6.0,,,,,,,16.0,85.0,"AUTO-LOGGED — fill in label, cycle and summary by hand."
31,29,invention-guard-closed-dirty,dev-100,2,46b5bf8,2026-09-20T17:03:35,2026-09-20T17:18:25,889,81.0,100.0,90.9,51.5,63.6,45.5,45.5,,,,,,63,41485,57,43,6.0,,,,,,,16.0,83.0,"AUTO-LOGGED — fill in label, cycle and summary by hand."
32,29,cycle29-invention-guard,dev-100,2,46b5bf8,2026-09-20T17:22:07,2026-09-20T17:37:04,896,80.0,97.1,90.9,51.5,63.6,45.5,45.5,,,,67,98,57,42289,57,43,6.0,90.2,79.6,84.6,87.5,82.4,87.5,16.0,82.0,"Cycle 29: the invention guard covers location, recurrence and to-do titles, and the event-kind retry that bypassed it entirely. vs run 29: field quality 84.3 -> 87.5, precision 88.4 -> 90.2, count-correct 82 -> 80. The count metric prefers an invented object to an honest 'I couldn't make out' - 2 of the 3 new failures are exactly that swap."
33,,,dev-100,2,e7ef7c6,2026-09-20T17:42:43,2026-09-20T17:57:40,897,81.0,100.0,90.9,51.5,63.6,45.5,45.5,,,,,,59,41914,57,43,6.0,,,,,,,16.0,83.0,"AUTO-LOGGED — fill in label, cycle and summary by hand."
34,30-31,cycles30-31-frame-trims,dev-100,2,e7ef7c6,2026-09-20T18:03:07,2026-09-20T18:19:37,990,80.0,100.0,90.9,48.5,63.6,45.5,36.4,,,,,,56,46562,57,43,6.0,91.2,78.5,84.4,87.2,82.4,87.1,15.0,82.0,"NEAR-ZERO, banked as such. Reminder command frames trimmed off a model title (rescue) and widened in _FRAME_LEAD (extractor): both measured at 0 of 6,880 gold titles changed, product-shape board byte-identical, one live shape improved. garbage 16 -> 15%, precision 91.4 -> 91.2, field quality 87.4 -> 87.2 - all inside noise. The junk titles come from a FALLBACK deeper in the extraction chain, which Q26 now unblocks."
35,,,dev-100,2,b067dd6,2026-09-20T18:49:00,2026-09-20T19:11:31,1350,79.0,94.1,87.9,54.5,54.5,63.6,45.5,,,,,,65,47022,63,37,3.0,,,,,,,7.0,81.0,"AUTO-LOGGED — fill in label, cycle and summary by hand."
36,32,cycle32-title-extractor,dev-100,2,b067dd6,2026-09-20T19:19:37,2026-09-20T19:41:30,1313,79.0,94.1,87.9,54.5,54.5,63.6,45.5,,,,68,97,67,46645,63,37,3.0,93.3,75.3,83.3,92.2,84.4,91.5,7.0,81.0,"Cycle 32, the title extractor (DEVQA Q26 answered): the reminder verb is no longer re-attached, and a title must NAME SOMETHING - one gate after every assignment path, plus the converter's own fallback, create-only. Judged on Q35's primary: field quality 87.2 -> 92.2, precision 91.2 -> 93.3, garbage titles 15 -> 7%. Stage board handled 796 -> 802. Prediction beaten on all three."
37,33,cycle33-naming-everywhere,dev-100,2,b2f0315,2026-09-20T19:50:11,2026-09-20T20:13:28,1397,76.0,94.1,87.9,45.5,45.5,54.5,36.4,,,,,,69,46326,63,37,2.0,93.0,71.0,80.5,91.9,84.4,91.5,4.0,80.0,"Cycle 33: the stranded possessive ('today's to-do list' -> ""'s to-do list"") and the naming gate extended to MODEL titles. garbage 7 -> 4%, primary flat (field quality 92.2 -> 91.9, precision 93.3 -> 93.0), recall 75.3 -> 71.0."
38,33,cycle33-separation-probe,dev-100,2,b2f0315,2026-09-20T20:14:14,2026-09-20T20:38:35,1460,75.0,88.2,87.9,48.5,54.5,54.5,36.4,,,,,,68,47249,63,37,3.0,90.5,72.0,80.2,92.1,84.4,91.8,5.0,79.0,"SEPARATION PROBE, not a cycle: the possessive fix alone, model-title gate switched off. Precision 90.5 vs 93.0 with it and 93.3 before either - the components cannot be told apart on single runs, which is the noise finding banked in RESULTS.md."
39,34,cycle34-noise-run1,dev-100,2,f505240,2026-09-20T20:42:03,2026-09-20T21:05:44,1420,75.0,91.2,87.9,45.5,45.5,54.5,36.4,,,,,,67,46096,63,37,2.0,91.7,71.0,80.0,91.9,84.4,,4.0,79.0,"Identical code (f505240), back to back. The two runs match to a tenth of a point: dev-100 is REPEATABLE, and cycle 33's '2-3 points of noise' claim is refuted. One row can flip across a longer gap; that is the floor."
40,34,cycle34-noise-run2,dev-100,2,f505240,2026-09-20T21:05:45,2026-09-20T21:29:24,1419,75.0,91.2,87.9,45.5,45.5,54.5,36.4,,,,,,68,50505,63,37,2.0,91.7,71.0,80.0,92.0,84.4,,4.0,79.0,"Identical code (f505240), back to back. The two runs match to a tenth of a point: dev-100 is REPEATABLE, and cycle 33's '2-3 points of noise' claim is refuted. One row can flip across a longer gap; that is the floor."
